Account_ID,Customer_ID,Account_Type,Average_Balance,Monthly_Expenses,Monthly_Savings,EMI,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Number_of_Accounts,Digital_Banking_Usage,Mobile_App_Usage,ATM_Transactions,Online_Transactions
ACC203406,CUST103551,Salary,16591.77,5857.55,3011.73,0,0,577,0.02,1,76,55,12,17
ACC200757,CUST102536,Savings,187029.66,43281.09,33931.15,15352.07,1183382.52,681,0.16,3,86,61,14,26
ACC203624,CUST104283,Current,90674.99,50955.55,-49849.18,85735.87,978044.66,,,3,94,63,8,21
ACC204544,CUST103851,Fixed Deposit Linked,5001.16,1500,579.46,0,0,562,0,4,29,10,15,10
ACC203235,CUST100634,Salary,5874.73,4068.77,1031.62,0,0,623,0.01,3,98,91,14,24
ACC201868,CUST104331,Fixed Deposit Linked,16614.03,1500,1525.13,0,0,,0.02,4,76,76,17,29
ACC202916,CUST104813,Savings,5945.41,1500,1575.56,0,0,534,0,3,67,82,17,29
ACC203335,CUST102477,Savings,95893.65,20119.58,,0,0,585,0,2,45,28,16,14
ACC203527,CUST101418,Salary,90832.38,38532.09,23018.96,0,0,677,0,2,99,68,10,30
ACC202827,CUST104010,Savings,928.41,1500,159.32,0,0,616,0,3,94,93,6,51
ACC204392,CUST100716,Savings,5805.72,2526.5,1614.69,0,0,545,0,3,80,77,9,25
ACC203484,CUST102618,Fixed Deposit Linked,699817.07,117289.25,74901.72,0,,658,0,1,82,61,4,24
ACC202961,CUST104182,Savings,13378.28,4789.29,2680.28,442.01,20422.05,580,0.02,,85,100,9,24
ACC203215,CUST100207,Salary,346270.63,84389.55,63570.77,59017.47,5953713.64,598,0.29,2,71,69,9,30
ACC204301,CUST104464,Salary,111072.64,42683.38,13177.73,56852.33,4993888.45,586,0.45,2,83,59,14,32
ACC200615,CUST102173,Salary,310317.22,45368.36,53913.67,0,0,763,0,3,77,68,9,28
ACC200640,CUST103464,Savings,54293.06,10709.49,12082.14,0,0,547,0,1,46,0,23,8
ACC203708,CUST101521,Salary,106061.36,37100.88,18896.75,0,0,716,0.05,4,47,67,19,25
ACC202366,CUST101140,,3805.97,13146.87,-3425.81,12541.03,378925.1,457,0.62,2,28,14,,5
ACC202755,CUST104590,Salary,109769.72,54215.29,10518.25,90115.38,4395392.68,623,0.6,4,79,71,10,38
ACC202318,CUST100546,Salary,345889.66,103542.24,53709.56,0,0,686,0.04,2,49,36,22,15
ACC204171,CUST103110,Salary,968.58,1500,-1759.18,2270.13,49813.91,483,1.11,3,67,60,13,21
ACC204760,CUST104433,Current,861631.03,502764.8,85304.82,349394.91,19561308.12,581,0.41,1,40,34,16,14
ACC202190,CUST103279,Savings,,218630.91,-2292959.9,2521232.72,28390353.72,612,1.5,4,71,45,11,27
ACC204714,CUST100606,Savings,58075.58,37777.45,16909.38,0,0,619,0,1,81,82,7,33
ACC202867,CUST104126,Fixed Deposit Linked,160647.09,44954.83,15015.31,20700.89,,627,0.26,1,83,100,12,35
ACC203731,CUST101112,Savings,43087.04,69746.14,-1302.53,45698.68,4313919.22,595,0.38,,96,60,7,26
ACC200470,CUST102964,Current,2001260.44,160001.87,138954.15,0,0,634,0.04,1,78,63,12,21
ACC202530,CUST104794,Salary,1009.84,1500,198.2,0,0,509,0,2,90,100,16,30
ACC202211,CUST102944,Salary,16281.15,,-28620.62,55940.24,2744533.86,490,0.61,2,97,75,10,34
ACC200625,CUST104719,Savings,478682.89,45348.95,74454.98,0,0,607,0,1,72,51,7,26
ACC204202,CUST102560,Savings,6832.48,1948.61,1180.26,0,0,544,0,3,100,97,9,34
ACC204819,CUST102931,Savings,64156.2,76454.86,6301.57,55130.25,4944826,607,0.4,2,80,100,9,30
ACC201874,CUST103203,Salary,465662.79,44093.85,83096.92,0,0,620,0,1,83,86,8,34
ACC204575,CUST100753,Salary,161656.23,55169.65,31880.62,0,0,613,0.03,3,67,61,6,28
ACC202061,CUST102906,Current,163641.69,26522.41,27656,0,0,721,0.02,4,24,29,10,5
ACC203691,CUST103223,Current,,3454.97,359.34,0,0,563,,2,100,100,3,33
ACC202288,CUST103364,Savings,110475.35,26677.2,25414.82,0,0,638,0.01,1,48,18,11,14
ACC204126,CUST102188,Fixed Deposit Linked,121766.03,44881.68,23045.46,0,0,681,0,1,78,90,9,32
ACC200370,CUST103945,Savings,18974.86,65088.58,-7688.38,39832.32,3843966.68,638,0.39,2,57,90,9,39
ACC204398,CUST101460,Salary,281642.68,31687.87,57591.42,0,0,685,0.01,4,100,89,14,30
ACC203244,CUST103041,Salary,168337.64,174352.17,12232.09,,8443774.28,589,0.28,3,52,34,10,12
ACC201218,CUST100332,,103994,45096.96,16181.05,0,0,632,,2,83,68,8,21
ACC203503,CUST104768,Salary,486290.05,136582.85,,0,,657,0,4,70,79,9,40
ACC203557,CUST102109,Savings,184181.07,55557.35,48889.26,0,0,670,0,1,76,71,13,33
ACC200275,CUST103248,Salary,12313.11,27187.29,,32440.33,2040847.39,523,0.55,3,94,100,10,42
ACC204550,CUST101122,Savings,,43827.6,-30275.48,50252.41,1089418.02,494,0.84,1,91,100,,43
ACC203070,CUST101655,Current,1354969.98,133377.2,113557.13,0,0,654,0.01,2,52,45,5,19
ACC200195,CUST101096,Savings,570437.24,80186.25,90067.13,0,,718,0,2,60,68,15,16
ACC203778,CUST102120,Current,946.93,1500,-347.46,0,0,512,0.02,3,59,48,12,17
ACC202261,CUST102189,Savings,8271.37,2222.62,1911.76,0,0,540,0.01,3,89,100,6,39
ACC204337,CUST101887,Salary,18881.84,43923.47,-102717.19,133360.24,2806486.77,429,1.5,1,70,67,15,25
ACC201440,CUST104197,Savings,225580.97,32774.51,39702.53,0,0,650,0,2,82,73,9,33
ACC201125,CUST100402,Salary,9241.31,4513.02,2658.47,0,0,494,0.03,1,100,95,10,37
ACC200676,CUST103002,NRI,8484.02,1835.81,1910.07,0,0,580,0.05,2,74,62,9,35
ACC202605,CUST100741,Current,196461.64,10056.49,11530.08,0,0,629,0,1,47,21,14,10
ACC203018,CUST103623,Salary,68030.02,47290,11549.97,21295.99,2322093.12,657,0.35,3,90,89,6,
ACC203032,CUST101246,Savings,2787.22,1500,336.56,0,0,466,0,1,64,46,10,28
ACC200161,CUST103143,Savings,144701.03,36399.52,32634.3,0,0,704,0,2,37,39,11,11
ACC202063,CUST102759,Salary,255429.87,60749.04,63688.27,0,0,720,0.02,3,45,81,16,32
ACC203690,CUST103699,Salary,121062.67,18227.49,20891.11,0,0,645,0.01,3,,54,27,12
ACC201841,CUST100411,Salary,58108.8,58912.74,-190203.98,261582.72,5627824.54,523,1.5,,78,93,4,34
ACC204558,CUST100728,Savings,2238.76,1500,343.65,0,0,566,0,1,100,100,14,43
ACC200078,CUST102527,Savings,117869.22,31021.61,23327.62,28175.7,2633766.97,,0.31,2,65,53,11,22
ACC201536,CUST103855,Savings,117578.26,38975.92,24699.96,11865.28,684530.75,729,0.16,3,35,14,17,14
ACC202764,CUST103662,Savings,294255.45,33235.89,50052.06,0,0,697,0,3,55,64,8,24
ACC202921,CUST100406,Fixed Deposit Linked,77672.68,52777.95,7479.14,17381.04,1220989.92,565,0.29,4,88,93,11,37
ACC202172,CUST100612,Salary,199840.87,62288.61,44568.83,0,0,718,0.03,2,62,63,13,26
ACC204433,CUST104571,Savings,11101.25,4809.4,1615.24,0,0,586,0.03,3,100,93,6,39
ACC200567,CUST101867,Savings,25158.04,4794.47,5510.88,0,0,539,0.02,1,65,43,16,21
ACC201947,CUST100729,Salary,27873.38,28462.83,,229821.51,2635332.43,558,1.5,3,71,98,,28
ACC203383,CUST101453,Savings,192576.61,582165.16,-751810.48,1349802.95,28434352.82,586,1.16,1,31,41,18,17
ACC201252,CUST100490,Current,68230.93,53509.88,-54344.3,109634.56,3427427.65,476,0.97,4,64,71,12,23
ACC201982,CUST102098,,23465.7,49552.15,-215489.79,297992.33,3375276.44,,1.5,3,49,50,11,16
ACC200402,CUST100787,Savings,89956.59,102296.63,-114242.65,245603.66,5207233.68,,1.07,3,46,2,13,12
ACC203893,CUST103229,,43063.9,56210.23,-13456.51,44697.29,1335458,559,0.47,3,82,74,8,34
ACC204434,CUST101145,Savings,275178.94,121464.87,49462.29,0,0,682,0,3,81,68,10,31
ACC202316,CUST102841,Current,9289622.52,450343.58,,0,0,724,0.03,2,60,67,12,27
ACC200687,CUST102052,Savings,3917.48,7024.64,524.72,0,0,615,0.07,1,73,100,9,30
ACC200459,CUST100812,Salary,21427.51,63638.71,-353075.9,383753.83,4315511.2,464,1.5,1,58,76,11,22
ACC200145,CUST103238,Savings,250952.73,64731.8,,0,0,724,0,1,74,60,10,39
ACC204758,CUST102869,Fixed Deposit Linked,13771.1,2426.01,2011.64,0,0,562,0,2,100,100,9,46
ACC202754,CUST102562,Savings,,36174.56,-27689.08,80833.65,1740531.65,541,0.92,4,49,71,14,29
ACC204138,CUST102116,Salary,87868.85,27284.04,20394.57,0,,578,0.01,2,66,46,12,15
