customer_id,age,gender,marital_status,education,occupation,state,employment_status,annual_income,monthly_income,customer_since,customer_segment,risk_profile,account_type,average_balance,monthly_expenses,monthly_savings,emi,loan_amount,credit_score,debt_to_income_ratio,number_of_accounts,digital_banking_usage,mobile_app_usage,atm_transactions,online_transactions,salary_account,savings_account,credit_card,personal_loan,home_loan,car_loan,gold_loan,fixed_deposit,recurring_deposit,mutual_fund,insurance,demat_account,forex_card,travel_card,total_amount,total_transactions,avg_amount,max_amount,min_amount
CUST103551,38.0,Female,Single,Post Graduate,Homemaker,Punjab,Not Employed,102593.87,8549.49,12.0,Business Owners,Low,Salary,16591.77,5857.55,3011.73,0.0,0.0,577.0,0.02,1.0,76.0,55.0,12.0,17.0,True,True,True,False,False,False,False,False,False,False,True,False,False,True,271497.73,40,6787.44325,21409.18,60.99
CUST102536,38.0,Female,Married,Graduate,Self Employed,Gujarat,Self Employed,1108827.42,92402.28,18.0,Business Owners,High,Savings,187029.66,43281.09,33931.15,15352.07,1183382.52,681.0,0.16,3.0,86.0,61.0,14.0,26.0,False,True,False,True,False,False,False,True,False,True,False,False,False,False,252083.05,11,22916.640909090907,93898.01,962.42
CUST104283,34.0,Female,Married,Graduate,Unemployed,West Bengal,Not Employed,,6571.72,15.0,Young Professionals,Low,Current,90674.99,50955.55,-49849.18,85735.87,978044.66,,,3.0,94.0,63.0,8.0,21.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,39180.82,15,2612.054666666667,7822.75,756.02
CUST103851,72.0,Female,Widowed,High School,Homemaker,Maharashtra,Not Employed,25443.62,2120.3,6.0,Business Owners,Low,Fixed Deposit Linked,5001.16,1500.0,579.46,0.0,0.0,562.0,0.0,4.0,29.0,10.0,15.0,10.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,63401.82,15,4226.788,20000.0,59.54
CUST100634,21.0,Male,Divorced,High School,Student,Assam,Not Employed,62704.95,5225.41,3.0,Students,Medium,Salary,5874.73,4068.77,1031.62,0.0,0.0,623.0,0.01,3.0,98.0,91.0,14.0,24.0,True,True,True,False,False,False,False,False,False,True,True,False,False,False,125252.35,36,3479.2319444444443,5483.04,50.0
CUST104331,38.0,Female,Married,High School,Unemployed,Madhya Pradesh,Not Employed,35883.85,2990.32,18.0,Business Owners,Low,Fixed Deposit Linked,16614.03,1500.0,1525.13,0.0,0.0,,0.02,4.0,76.0,76.0,17.0,29.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,63867.95,13,4912.919230769231,20000.0,161.04
CUST104813,32.0,Female,Married,Post Graduate,Unemployed,Gujarat,Not Employed,36236.87,3019.74,6.0,Young Professionals,,Savings,5945.41,1500.0,1575.56,0.0,0.0,534.0,0.0,3.0,67.0,82.0,17.0,29.0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,3423.7,8,427.9625,1606.19,118.46
CUST102477,68.0,Female,Widowed,Post Graduate,Retired,,Retired,511069.25,42589.1,2.0,Retired Customers,Low,Savings,95893.65,20119.58,,0.0,0.0,585.0,0.0,2.0,45.0,28.0,16.0,14.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,4553.47,4,1138.3675,1579.82,532.48
CUST101418,29.0,Male,Divorced,Post Graduate,Salaried - Private,Madhya Pradesh,Employed,759207.75,63267.31,11.0,Young Professionals,Medium,Salary,90832.38,38532.09,23018.96,0.0,0.0,677.0,0.0,2.0,99.0,68.0,10.0,30.0,True,True,True,False,False,False,True,False,False,False,False,False,True,True,1512936.09,35,43226.74542857143,65837.66,528.43
CUST104010,23.0,Female,Single,High School,Student,,Not Employed,19274.49,1606.21,5.0,Students,Medium,Savings,928.41,1500.0,159.32,0.0,0.0,616.0,0.0,3.0,94.0,93.0,6.0,51.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,295.36,5,59.072,68.88,50.0
CUST100716,18.0,Female,Single,Doctorate,Student,Gujarat,Not Employed,49578.91,4131.58,1.0,Students,Medium,Savings,5805.72,2526.5,1614.69,0.0,0.0,545.0,0.0,3.0,80.0,77.0,9.0,25.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,818.86,14,58.49,80.63,50.0
CUST102618,,Male,Single,Post Graduate,Salaried - Private,Tamil Nadu,Employed,2288006.47,190667.21,1.0,Business Owners,Medium,Fixed Deposit Linked,699817.07,117289.25,74901.72,0.0,,658.0,0.0,1.0,82.0,61.0,4.0,24.0,False,True,False,True,True,True,False,False,True,True,True,True,False,False,495500.42,13,38115.416923076926,177977.63,1021.36
CUST104182,22.0,Female,Single,Graduate,Student,Karnataka,Not Employed,91500.95,7625.08,4.0,Students,Medium,Savings,13378.28,4789.29,2680.28,442.01,20422.05,580.0,0.02,,85.0,100.0,9.0,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1178.76,10,117.876,680.73,50.0
CUST100207,41.0,Other,Divorced,Post Graduate,Salaried - Private,Rajasthan,Employed,2452868.87,204405.74,13.0,Business Owners,High,Salary,346270.63,84389.55,63570.77,59017.47,5953713.64,598.0,0.29,2.0,71.0,69.0,9.0,30.0,True,True,True,True,False,False,False,False,True,True,True,True,True,True,5458825.0,41,133142.07317073172,269059.14,1205.9
CUST104464,34.0,Female,Widowed,Diploma,,Tamil Nadu,Employed,1374422.8,114535.23,15.0,Young Professionals,Medium,Salary,111072.64,42683.38,13177.73,56852.33,4993888.45,586.0,0.45,2.0,83.0,59.0,14.0,32.0,True,True,True,False,False,True,False,False,True,False,True,False,False,False,2744022.35,37,74162.76621621622,119108.34,571.65
CUST102173,28.0,Female,Divorced,Graduate,Salaried - Government,Maharashtra,Employed,1195087.46,99590.62,,Young Professionals,Medium,Salary,310317.22,45368.36,53913.67,0.0,0.0,763.0,0.0,3.0,77.0,68.0,9.0,28.0,True,True,True,False,False,False,False,True,True,False,False,False,False,True,2429646.48,36,67490.18,104539.26,725.49
CUST103464,60.0,Female,Single,Graduate,Retired,Odisha,Retired,271904.82,22658.74,8.0,Retired Customers,Low,Savings,54293.06,10709.49,12082.14,0.0,0.0,547.0,0.0,1.0,46.0,0.0,23.0,8.0,False,True,False,False,False,False,True,True,False,False,True,False,False,False,2179.77,6,363.295,646.37,94.55
CUST101521,64.0,Female,Single,Graduate,,Punjab,Retired,665717.96,55476.5,5.0,Retired Customers,Low,Salary,106061.36,37100.88,18896.75,0.0,0.0,716.0,0.05,4.0,47.0,67.0,19.0,25.0,True,True,True,True,False,False,False,False,True,False,True,False,False,True,1327484.29,28,47410.15321428571,58012.3,436.05
CUST101140,66.0,Female,Married,High School,Retired,Rajasthan,Retired,267229.27,22269.11,5.0,Retired Customers,Low,,3805.97,13146.87,-3425.81,12541.03,378925.1,457.0,0.62,2.0,28.0,14.0,,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2073.07,5,414.614,852.89,142.64
CUST104590,37.0,Female,Divorced,Graduate,Salaried - Private,Kerala,Employed,1820236.88,151686.41,5.0,Business Owners,Medium,Salary,109769.72,54215.29,10518.25,90115.38,4395392.68,623.0,0.6,4.0,79.0,71.0,10.0,38.0,True,True,True,False,False,False,False,True,True,True,False,True,False,False,3993421.96,43,92870.27813953489,157378.35,1743.52
CUST100546,61.0,Female,Divorced,Post Graduate,Self Employed,Maharashtra,Self Employed,1882069.1,156839.09,15.0,Business Owners,Medium,Salary,345889.66,103542.24,53709.56,0.0,0.0,686.0,0.04,2.0,49.0,36.0,22.0,15.0,True,True,True,False,False,False,False,False,False,True,True,True,False,False,4340848.62,35,124024.24628571428,232437.59,1310.8
CUST103110,44.0,Male,Widowed,Graduate,,Jharkhand,Not Employed,24082.69,,16.0,Business Owners,Low,Salary,968.58,1500.0,-1759.18,2270.13,49813.91,483.0,1.11,3.0,67.0,60.0,13.0,21.0,True,True,True,True,False,True,False,False,False,False,False,False,True,True,248476.41,37,6715.578648648649,98706.2,92.95
CUST104433,52.0,Male,Widowed,Graduate,Business Owner,Madhya Pradesh,Self Employed,11262124.46,938510.37,2.0,High Net Worth Individuals,High,Current,861631.03,502764.8,85304.82,349394.91,19561308.12,581.0,0.41,1.0,40.0,34.0,16.0,14.0,False,True,False,True,False,False,False,False,True,True,True,False,False,False,2005963.46,18,111442.41444444444,713817.12,5731.59
CUST103279,55.0,Female,Married,Graduate,Business Owner,Gujarat,Self Employed,5183150.14,431929.18,8.0,High Net Worth Individuals,High,Savings,,218630.91,-2292959.9,2521232.72,28390353.72,612.0,1.5,4.0,71.0,45.0,11.0,27.0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,2036513.15,23,88544.05,592736.62,9814.84
CUST100606,32.0,Female,Married,Graduate,Salaried - Private,Rajasthan,Employed,657179.4,54764.95,1.0,Young Professionals,Medium,Savings,58075.58,37777.45,16909.38,0.0,0.0,619.0,0.0,1.0,81.0,82.0,7.0,33.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,6663.78,8,832.9725,1290.68,323.06
CUST104126,29.0,Female,Divorced,Graduate,,Maharashtra,Employed,961441.14,80120.1,11.0,Young Professionals,High,Fixed Deposit Linked,160647.09,44954.83,15015.31,20700.89,,627.0,0.26,1.0,83.0,100.0,12.0,35.0,False,True,False,False,False,False,False,False,True,False,True,False,True,True,28510.24,16,1781.89,4460.03,413.76
