customer_id,age,gender,marital_status,education,occupation,state,employment_status,annual_income,customer_since,customer_segment,risk_profile,account_type,average_balance,monthly_expenses,monthly_savings,emi,loan_amount,credit_score,debt_to_income_ratio,number_of_accounts,digital_banking_usage,mobile_app_usage,atm_transactions,online_transactions,salary_account,savings_account,credit_card,personal_loan,home_loan,car_loan,gold_loan,fixed_deposit,recurring_deposit,mutual_fund,insurance,demat_account,forex_card,travel_card,total_amount,total_transactions,avg_amount,max_amount,min_amount,annual_income_log,monthly_income_log,monthly_expenses_log,average_balance_log,loan_amount_log,total_amount_log,product_count,has_loan
CUST103551,38.0,Female,Single,Post Graduate,Homemaker,Punjab,Not Employed,102593.87,12.0,Business Owners,Low,Salary,16591.77,5857.55,3011.73,0.0,0.0,577.0,0.02,1.0,76.0,55.0,12.0,17.0,True,True,True,False,False,False,False,False,False,False,True,False,False,True,271497.73,40,6787.44325,21409.18,60.99,11.538543210468765,9.053743870230175,8.675657411679625,9.71672233729992,0.0,12.511712740628797,5,0
CUST102536,38.0,Female,Married,Graduate,Self Employed,Gujarat,Self Employed,1108827.42,18.0,Business Owners,High,Savings,187029.66,43281.09,33931.15,15352.07,1183382.52,681.0,0.16,3.0,86.0,61.0,14.0,26.0,False,True,False,True,False,False,False,True,False,True,False,False,False,False,252083.05,11,22916.640909090907,93898.01,962.42,13.918814538402431,11.43391775483524,10.675494202557756,12.139027839616459,13.983888283151762,12.437517842630244,4,1
CUST104283,34.0,Female,Married,Graduate,Unemployed,West Bengal,Not Employed,,15.0,Young Professionals,Low,Current,90674.99,50955.55,-49849.18,85735.87,978044.66,,,3.0,94.0,63.0,8.0,21.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,39180.82,15,2612.054666666667,7822.75,756.02,,8.790683028847182,10.8387285877973,11.415047882205645,13.79331163504371,10.575968142691226,1,1
CUST103851,72.0,Female,Widowed,High School,Homemaker,Maharashtra,Not Employed,25443.62,6.0,Business Owners,Low,Fixed Deposit Linked,5001.16,1500.0,579.46,0.0,0.0,562.0,0.0,4.0,29.0,10.0,15.0,10.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,63401.82,15,4226.788,20000.0,59.54,10.144259604739673,7.659784387278305,7.313886831633462,8.517625098131102,0.0,11.057263618931403,3,0
CUST100634,21.0,Male,Divorced,High School,Student,Assam,Not Employed,62704.95,3.0,Students,Medium,Salary,5874.73,4068.77,1031.62,0.0,0.0,623.0,0.01,3.0,98.0,91.0,14.0,24.0,True,True,True,False,False,False,False,False,False,True,True,False,False,False,125252.35,36,3479.2319444444443,5483.04,50.0,11.046211618450378,8.561479896887636,8.31134176578332,8.678585586612456,0.0,11.738093765096416,5,0
CUST104331,38.0,Female,Married,High School,Unemployed,Madhya Pradesh,Not Employed,35883.85,18.0,Business Owners,Low,Fixed Deposit Linked,16614.03,1500.0,1525.13,0.0,0.0,,0.02,4.0,76.0,76.0,17.0,29.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,63867.95,13,4912.919230769231,20000.0,161.04,10.48807047983593,8.003470040536735,7.313886831633462,9.718062986384416,0.0,11.064588606777477,0,0
CUST104813,32.0,Female,Married,Post Graduate,Unemployed,Gujarat,Not Employed,36236.87,6.0,Young Professionals,,Savings,5945.41,1500.0,1575.56,0.0,0.0,534.0,0.0,3.0,67.0,82.0,17.0,29.0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,3423.7,8,427.9625,1606.19,118.46,10.49785998359517,8.013257113465787,7.313886831633462,8.690542955099431,0.0,8.138769155619112,3,0
CUST102477,68.0,Female,Widowed,Post Graduate,Retired,,Retired,511069.25,2.0,Retired Customers,Low,Savings,95893.65,20119.58,,0.0,0.0,585.0,0.0,2.0,45.0,28.0,16.0,14.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,4553.47,4,1138.3675,1579.82,532.48,13.144262335275107,10.65937711088351,9.909498450835958,11.471005472036946,0.0,8.423864447271086,3,0
CUST101418,29.0,Male,Divorced,Post Graduate,Salaried - Private,Madhya Pradesh,Employed,759207.75,11.0,Young Professionals,Medium,Salary,90832.38,38532.09,23018.96,0.0,0.0,677.0,0.0,2.0,99.0,68.0,10.0,30.0,True,True,True,False,False,False,True,False,False,False,False,False,True,True,1512936.09,35,43226.74542857143,65837.66,528.43,13.540032051501218,11.055139850862739,10.559272631653473,11.416782118178663,0.0,14.229563412262943,6,0
CUST104010,23.0,Female,Single,High School,Student,,Not Employed,19274.49,5.0,Students,Medium,Savings,928.41,1500.0,159.32,0.0,0.0,616.0,0.0,3.0,94.0,93.0,6.0,51.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,333.71320000000003,5,59.072,68.88,50.0,9.866589619638889,7.3822550354823635,7.313886831633462,6.8345499762228625,0.0,5.81327404574257,2,0
